name,eigen_centrality,betweenness_centrality,degree_centrality,closeness_centrality,pagerank,hub,authority,degree,weighted_degree,louvain,leiden,girvan_newman,spectral
Harry Potter,0.6166852749033679,0.14635983258784346,0.7536945812807881,0.7697044334975369,0.20726672404601182,0.20155980427249764,0.20155980427249764,153,10576,1,1,0,0
Hermione Granger,0.5480482539089342,0.06949878691338121,0.5073891625615764,0.6295346165347266,0.09654091215306183,0.179135320947429,0.17913532094742904,103,5324,1,1,0,0
Ronald Weasley,0.5105920709107998,0.14058000981250157,0.5763546798029556,0.6634489393110083,0.08966904335568339,0.16689078950382577,0.16689078950382588,117,4822,1,1,0,0
Tom Riddle,0.1387360597871635,0.07691498870424834,0.3842364532019705,0.5728032993470042,0.030579954732282137,0.045347599646897024,0.04534759964689698,78,1511,1,1,0,0
Albus Dumbledore,0.11732931258879808,0.10181344983040477,0.33497536945812806,0.5597850425436633,0.027977716726908304,0.038350502832771666,0.03835050283277165,68,1341,0,0,0,0
Rubeus Hagrid,0.04093724195298303,0.07420821081428902,0.22167487684729065,0.5171767322188174,0.010162549556757532,0.01338091670045554,0.013380916700455532,45,432,1,2,0,0
Ginevra Weasley,0.047338139467576375,0.03586736881239835,0.2315270935960591,0.5268565106293301,0.011720187761819809,0.015472977292343697,0.015472977292343683,47,579,2,2,0,0
Severus Snape,0.041916408073265576,0.028827388863216105,0.23645320197044334,0.5325522566901878,0.01950847367939822,0.013700868839117152,0.013700868839117142,48,804,0,0,0,0
Luna Lovegood,0.043617493999886306,0.030919480133613803,0.18719211822660098,0.5039497058193593,0.011426248917129744,0.014256873474493306,0.014256873474493288,38,573,3,3,0,0
Aberforth Dumbledore,0.03800631526316838,0.024934373420444852,0.22660098522167488,0.5185377236193933,0.010265655878845825,0.012422858465392773,0.012422858465392763,46,464,0,0,0,0
Remus Lupin,0.03884720222521858,0.037935088219198526,0.2315270935960591,0.5212813094586494,0.011855167270150574,0.012697683341341047,0.01269768334134103,47,541,2,2,0,0
Griphook,0.046480885818966915,0.00575989992603122,0.11330049261083744,0.48413841517289796,0.00864578734492956,0.01519270994291041,0.015192709942910403,23,446,1,1,0,0
Sirius Black,0.031257472886483166,0.002240182639488626,0.13793103448275862,0.4950862687823353,0.007038627368556522,0.010216942702895674,0.01021694270289567,28,342,7,6,0,0
Kreacher,0.032803632196558026,0.00848042810256326,0.08866995073891626,0.47826294896934335,0.00776866237279485,0.01072222437135672,0.010722224371356717,18,401,7,6,0,0
Lily J. Potter,0.012129664410777346,0.027780868935300313,0.15270935960591134,0.5052418845522293,0.010942732623650689,0.003964704906128727,0.0039647049061287245,31,408,0,0,0,0
Molly Weasley,0.029729523853995122,0.022493864827824506,0.14285714285714285,0.49016003725216284,0.008337810412678108,0.009717425476847171,0.009717425476847159,29,378,2,2,0,0
Bathilda Bagshot,0.020981539420010582,0.024563439030388174,0.11330049261083744,0.48059593896431574,0.005626930711676007,0.006858065258207861,0.006858065258207867,23,229,0,0,0,0
Godric Gryffindor,0.024735253082068486,0.06581932690788843,0.2315270935960591,0.5226640185023064,0.00917450489797341,0.00808494527699455,0.008084945276994555,47,364,0,0,0,0
Ariana Dumbledore,0.016507828157178127,0.003652652469891413,0.11822660098522167,0.47826294896934335,0.006538625170346032,0.005395862954924495,0.005395862954924491,24,254,0,0,0,0
Dobby,0.018252627475878604,0.0,0.06896551724137931,0.46915317851278443,0.003949672215802904,0.0059661283753697685,0.005966128375369765,14,189,1,1,0,0
Xenophilius Lovegood,0.03387554539608026,0.0036470901285913988,0.08866995073891626,0.4748056264466734,0.006512562951717954,0.011072376144378854,0.011072376144378856,18,321,1,1,0,0
Draco Malfoy,0.020786069241571767,9.412271276388725e-05,0.06896551724137931,0.4636337293538105,0.005110115494458089,0.006794168176027174,0.006794168176027165,14,246,5,7,0,0
Fleur Delacour,0.021287623508527316,0.023051322826773933,0.2019704433497537,0.5078462241633233,0.00986476424790132,0.006957991396697459,0.00695799139669746,41,440,2,2,0,0
William Weasley,0.022658656985334674,0.01196173297860018,0.18719211822660098,0.5001125253181966,0.009069364026453986,0.0074061969390551464,0.00740619693905515,38,416,2,2,0,0
Neville Longbottom,0.02307958258787073,0.02947624798201532,0.1625615763546798,0.4988464176591632,0.006065514842882508,0.007543766377491122,0.0075437663774911195,33,273,3,3,0,0
Garrick Ollivander,0.02003603837064366,0.004131025717368157,0.10837438423645321,0.47826294896934335,0.005246649454536504,0.006548987276667839,0.0065489872766678345,22,260,1,1,0,0
Regulus Black,0.009814444333752411,0.00010497918831276077,0.06403940886699508,0.4593108041383903,0.004755428859543763,0.003207907993280139,0.003207907993280137,13,225,7,6,0,0
Fred Weasley,0.01985037090412032,0.0065719108259544735,0.13793103448275862,0.48295180141021926,0.007511082346384119,0.006488269924860619,0.006488269924860617,28,348,2,2,0,0
Rufus Scrimgeour,0.020572139148509246,0.009205558078207669,0.08866995073891626,0.47826294896934335,0.004665071497495113,0.006724164026363764,0.006724164026363764,18,208,1,1,0,0
George Weasley,0.013527492852980804,0.024339397955272648,0.1477832512315271,0.49261083743842365,0.005798967468555809,0.004421552137277646,0.004421552137277646,30,271,2,2,0,0
Bellatrix Lestrange,0.01900406570892906,0.009972792443488905,0.1625615763546798,0.49758670448325626,0.005798997005073409,0.00621162083096196,0.006211620830961964,33,269,1,1,0,0
Minerva McGonagall,0.01203050422001226,0.032913761799600975,0.12807881773399016,0.488943759244093,0.0058636544860704585,0.003932355001488998,0.003932355001488995,26,195,3,3,0,0
Fenrir Greyback,0.012136031292435831,0.02003637146851475,0.1477832512315271,0.49016003725216284,0.004410190383385666,0.003966846818494051,0.00396684681849405,30,152,5,1,0,0
Mykew Gregorovitch,0.01294314717178578,0.001967563705383845,0.054187192118226604,0.4593108041383903,0.0032679752217442556,0.004230632546778523,0.004230632546778516,11,139,1,1,0,0
Nymphadora Tonks,0.015487852541491718,0.016924346812537804,0.1477832512315271,0.49016003725216284,0.005534127307914061,0.005062354103557056,0.005062354103557056,30,245,2,2,0,0
Arthur Weasley,0.015428366068719456,0.05124010447064773,0.2315270935960591,0.5171767322188174,0.006358800131872975,0.005042916412247933,0.005042916412247928,47,253,2,2,0,0
Dean Thomas,0.016052462906347608,0.023894105825669903,0.11822660098522167,0.48413841517289796,0.005056447007564226,0.005246879431055701,0.0052468794310557,24,234,3,3,0,0
Phineas Nigellus Black,0.01555804306735982,0.02641207088352889,0.06896551724137931,0.4713979305630848,0.0038451895020264804,0.00508525843017181,0.005085258430171809,14,131,1,1,0,0
Vincent Crabbe,0.01323529648273483,4.220959675790798e-05,0.03940886699507389,0.4529754827019988,0.0036607511819620126,0.004326089183399366,0.004326089183399365,8,168,5,7,0,0
