name,eigen_centrality,betweenness_centrality,degree_centrality,closeness_centrality,pagerank,hub,authority,degree,weighted_degree,louvain,leiden,girvan_newman,spectral
Harry Potter,0.6386117415173423,0.19256251949091693,0.7999999999999999,0.8223435948361469,0.23310143390847665,0.19999756581519204,0.19999756581519196,76,4925,0,0,0,0
Ronald Weasley,0.58804813545138,0.09887960729442294,0.6105263157894737,0.6973473684210526,0.13153788208532805,0.18416760362987988,0.1841676036298802,58,2926,0,0,0,0
Hermione Granger,0.38189558198662305,0.04492714079500195,0.4842105263157895,0.6316552250190695,0.06966961466244,0.11960248041701431,0.11960248041701425,46,1556,0,0,0,0
Gilderoy Lockhart,0.16542699020009202,0.15249981540147575,0.47368421052631576,0.6271109428246876,0.041717453657745096,0.051808832294915716,0.05180883229491567,45,744,0,0,0,0
Tom Riddle,0.08538582556225578,0.04221103155036153,0.23157894736842105,0.5347755892799483,0.0171884209621165,0.02674156923533867,0.026741569235338696,22,368,0,2,0,0
Rubeus Hagrid,0.09142049379676323,0.05031896865282261,0.28421052631578947,0.5482290632240979,0.022884370713194584,0.028631333936177426,0.02863133393617743,27,417,2,2,0,0
Ginevra Weasley,0.08693083140013956,0.02852031243902662,0.29473684210526313,0.5482290632240979,0.022498936411363593,0.027225200559092954,0.027225200559092964,28,479,1,1,0,0
Dobby,0.05981932670952218,0.0018515123050397407,0.1368421052631579,0.4924769550996135,0.011058752114422449,0.018734534361741117,0.01873453436174113,13,231,2,2,0,0
Fred Weasley,0.08245735918340753,0.06330227404437552,0.3368421052631579,0.5697282421740626,0.02517336986300942,0.025824126672226298,0.02582412667222629,32,507,1,1,0,0
George Weasley,0.07790749850357706,0.054557681201872904,0.3157894736842105,0.5623769100169779,0.024056951256566192,0.024399192292004362,0.02439919229200436,30,486,1,1,0,0
Draco Malfoy,0.07946649971666242,0.08222913140446306,0.3157894736842105,0.5660287081339713,0.01765700356312681,0.024887481128103947,0.02488748112810394,30,375,3,3,0,0
