name,eigen_centrality,betweenness_centrality,degree_centrality,closeness_centrality,pagerank,hub,authority,degree,weighted_degree,louvain,leiden,girvan_newman,spectral
Harry Potter,0.6124029871358797,0.14017345009926901,0.7005649717514124,0.7515128688010043,0.19531205589398035,0.1717247784883526,0.17172477848835233,124,10019,0,1,0,0
Ronald Weasley,0.5426055121967213,0.0974338026035653,0.5141242937853108,0.6528586698078224,0.09466026526994308,0.15214469349475856,0.15214469349475887,91,5173,0,1,0,0
Hermione Granger,0.457907159838115,0.027905727267871532,0.4406779661016949,0.6104346407228375,0.07049120707803272,0.1283980265502388,0.12839802655023863,78,3959,0,1,0,0
Albus Dumbledore,0.15530843345969256,0.06625996463796288,0.3446327683615819,0.5810666511347972,0.036062774963165,0.04354778463176624,0.04354778463176628,61,1830,1,0,0,0
Cedric Diggory,0.10008892831916921,0.0164104502446188,0.2542372881355932,0.5454528886458904,0.017856814665987417,0.028064318693918282,0.02806431869391832,45,890,0,1,0,0
Alastor Moody,0.10153173080700956,0.03361410088975992,0.2768361581920904,0.5472181083502459,0.021661636787159416,0.028469115613564716,0.02846911561356476,49,1100,1,0,0,0
Rubeus Hagrid,0.12163262929992277,0.07755103277412102,0.2937853107344633,0.5636346516007533,0.021292226422274897,0.03410564682137901,0.03410564682137905,52,1149,4,1,0,0
Fred Weasley,0.07451883245229422,0.04344822067653835,0.2598870056497175,0.531730803396937,0.019555103425758516,0.02089529701222615,0.02089529701222615,46,978,2,3,0,0
George Weasley,0.06444322704807698,0.052918506856391025,0.23163841807909605,0.5234996764093683,0.016567401614243586,0.01807006203251413,0.018070062032514142,41,853,2,3,0,0
Sirius Black,0.07450681693757664,0.05882795824654157,0.23163841807909605,0.531730803396937,0.012752099711943974,0.02089146714056239,0.020891467140562416,41,653,0,0,0,0
Tom Riddle,0.06343470713560284,0.06880807774930035,0.21468926553672316,0.5218839366673642,0.013402978759135589,0.01778675178929943,0.017786751789299438,38,550,0,0,0,0
Severus Snape,0.07004773783602179,0.0569641307036359,0.23728813559322035,0.5334081876347824,0.017391228270047535,0.019641174290067707,0.019641174290067717,42,813,1,0,0,0
Bartemius Crouch Senior,0.08564597043405268,0.05083088492436207,0.2768361581920904,0.5454528886458904,0.023996306347929156,0.02401513781218483,0.024015137812184822,49,1169,1,0,0,0
Viktor Krum,0.08004877670941218,0.036886257135203326,0.23163841807909605,0.5334081876347824,0.015780832848756227,0.022445657278968995,0.022445657278969036,41,769,0,1,0,0
Ludovic Bagman,0.04956742754728835,0.0763844594347737,0.2994350282485876,0.5525829917654443,0.013194239586079015,0.013898555142279978,0.013898555142279997,53,569,1,0,0,0
Dobby,0.036345696526569264,0.0190011924391496,0.10734463276836158,0.47364256437038094,0.0053390043418619785,0.010191191257043769,0.010191191257043786,19,264,0,1,0,0
Vernon Dursley,0.02874727226924644,0.002336290573366695,0.0847457627118644,0.47364256437038094,0.005901322273240047,0.008060545792278348,0.008060545792278353,15,294,7,6,0,0
Rita Skeeter,0.04157761195585835,0.02426459427218783,0.1807909604519774,0.5139525698487113,0.008093701925967218,0.011658331311245365,0.011658331311245378,32,398,4,1,0,0
Draco Malfoy,0.04547772779909862,0.024436638388942784,0.1807909604519774,0.5093084201211626,0.010123086580489014,0.012752011502669646,0.012752011502669641,32,491,6,5,0,0
Winky,0.04162951442766261,0.0,0.096045197740113,0.47765648440741804,0.009008487541529067,0.011672923852066879,0.011672923852066888,17,475,1,0,0,0
Molly Weasley,0.04084280311548046,0.03933830511852582,0.20903954802259886,0.5218839366673642,0.009369393936748202,0.0114523401351974,0.011452340135197404,37,445,2,3,0,0
Fleur Delacour,0.029242934836851756,0.009570138250211866,0.14689265536723164,0.49297491393651893,0.006958840684668632,0.008199643605508757,0.008199643605508762,26,322,0,1,0,0
Hedwig,0.024696339695184935,0.015267220333417918,0.0847457627118644,0.46969554300062777,0.0037155167794345025,0.006924742249453859,0.006924742249453861,15,169,0,1,0,0
